ID,Year,X,Y,NAME_1,NAME_2,Obs_Rice_Area,Obs_Rice_Yield,evi_max,evi_min,evi_mean,evi_count,evi_stdDev,evi_variance,slope,elevation,May_Tmax,May_Tmin,May_Precipitation,June_Tmax,June_Tmin,June_Precipitation,July_Tmax,July_Tmin,July_Precipitation,Aug_Tmax,Aug_Tmin,Aug_Precipitation,Sept_Tmax,Sept_Tmin,Sept_Precipitation,Oct_Tmax,Oct_Tmin,Oct_Precipitation
821,2022,91,28,Bumthang,Chhoekhor,2.576,16793.15217,13226.82702,6889.66086,10466.19603,13.10403216,1959.304452,4108265.02,0.195941731,2883.715063,10.30597173,-1.603751022,62.62239773,11.96082261,1.598848654,134.2505206,13.2587225,4.049200968,100.0168863,13.73161121,4.476897192,76.1527397,12.53307354,2.085379393,74.54105595,10.68444644,-2.986779618,45.91932446
616,2021,91,28,Bumthang,Chhoekhor,60.74167,1714.470001,12515.61824,8998.825936,10841.41043,4.407902524,1322.612421,2269458.013,0.191352299,2861.928015,9.410149598,-2.674678739,69.40518896,12.89692244,2.406365377,92.9732286,13.23310809,3.993969999,115.722979,13.30286391,3.98910354,149.4175155,12.27439508,1.871113811,48.98771867,12.3296807,-1.510478651,45.59618416
1,2018,91,28,Bumthang,Chhoekhor,70.17,1775,13097.42788,7355.621188,10788.46953,9.654218691,1872.390875,3788270.471,0.191912929,2865.284709,8.634427014,-3.102386932,42.89617784,12.78376371,1.693145221,67.28109516,12.8854275,3.466494876,119.262165,12.92293026,3.699045363,99.7235685,12.37647825,1.428507451,38.88414945,8.456682461,-4.955404191,9.965166017
411,2020,91,28,Bumthang,Chhoekhor,83.64,1714.000478,12665.98141,7230.824383,10110.30183,6.077894438,1920.895664,4078540.7,0.190651122,2861.561462,8.381732711,-3.701655879,95.03840907,12.26643006,1.775872995,105.9982475,13.05327743,3.813574729,186.6491804,13.97770074,4.664495716,100.3393016,13.00191786,2.606503367,103.0308185,12.8550591,-0.986551291,17.5807591
206,2019,91,28,Bumthang,Chhoekhor,94.41,1709.950641,12965.09096,7112.787086,10576.58665,8.683145179,1947.436967,4122994.62,0.19256904,2862.09752,9.902225228,-2.431975717,65.35541548,13.11809,2.453525857,71.13404444,13.35169292,3.848511471,149.8060034,14.17751126,4.730088576,90.02837036,12.57286454,2.065808991,95.71770562,11.04802162,-2.769032896,30.09336564
822,2022,91,27,Bumthang,Chhume,0.068,14940,12741.50914,5661.212651,9496.314582,14.78458986,2115.673984,4811993.654,0.136049485,2864.417868,16.70902349,5.567649779,100.8565699,17.6930822,8.127985858,250.1247245,19.16825054,10.59826169,135.1892953,19.37441891,10.68108258,120.0199677,18.33730324,8.550792224,123.5221157,16.56768608,3.589073967,93.29667119
2,2018,91,27,Bumthang,Chhume,1.61,1493.962733,12889.20884,6548.25483,10268.30779,8.798161804,2069.374648,4711384.845,0.146787506,2867.428129,15.44644515,4.452110436,84.8560426,18.62635819,8.30967438,113.3097496,18.86124457,10.05985634,187.7513204,18.91575631,10.16661423,141.6149783,18.33582598,7.982931531,68.00398489,14.34708135,1.519869994,17.27850147
823,2022,91,28,Bumthang,Tang,4.519,13926.64306,13178.92647,6549.29924,10250.05377,12.90149574,2083.017147,4654028.071,0.209664783,2867.252924,15.13249318,3.411800146,82.11310832,16.44445842,6.261524532,175.8821716,17.6000273,8.522752147,112.3771387,17.82610812,8.678858265,88.37138673,16.85488982,6.60400972,100.9089475,15.41897144,1.910455362,67.70740963
3,2018,91,28,Bumthang,Tang,31,1212.93,13105.37297,7111.560154,10547.31156,8.733113491,1981.286165,4246894.644,0.211476558,2876.184853,13.75746355,2.243259437,63.8767592,17.21411957,6.314898475,87.43656215,17.30683044,7.998125291,147.0493176,17.25495573,8.103067039,115.4647893,16.80196259,6.013297384,53.20024632,13.11388989,-0.177462885,13.63274749
208,2019,91,28,Bumthang,Tang,39.6,1220,13077.41948,7056.922028,10537.81332,9.419920085,1975.454883,4217624.794,0.212554388,2877.767759,14.9594308,2.829763664,101.9807203,17.46893616,7.033441848,103.81904,17.76499767,8.420630451,179.0704547,18.28963185,8.97162173,101.7749218,16.85436189,6.557819053,123.5112509,15.40678983,1.775825178,39.98872246
