Year,ID,NAME_1,Year,Obs_Rice_Area,Obs_Rice_Yield,Xcoordinate,Ycoordinate,evi_max,evi_min,evi_mean,evi_count,evi_stdDev,evi_variance,slope,elevation,May_Tmax,May_Tmin,May_Prec,June_Tmax,Jun_Tmin,Jun_Prec,July_Tmax,July_Tmin,July_Prec,Aug_Tmax,Aug_Tmin,Aug_Prec,Sept_Tmax,Sept_Tmin,Sept_Prec,Oct_Tmax,Oct_Tmin,Oct_Prec,Tmin_seasonalmean,Tmax_seasonalmean,Prec_seasonalmean
2002,1,Bumthang,2002,74,642,91,28,11819.24182,6146.341853,8967.75885,6.086931091,1954.646101,4210428.646,0.177589213,2917.859888,10.93920118,-0.248715784,73.23571587,14.03568913,3.872633954,93.69755991,13.98168776,5.984352073,156.4190432,14.16681933,5.240068782,119.0517532,12.97616905,3.49546259,64.26390597,11.20349079,-2.243741899,31.03844881,2.683343286,12.88384287,89.61773783
2002,2,Chhukha,2002,2015,580,90,27,12377.14308,9970.460496,11228.19251,2.994203295,1014.698935,1879131.592,0.309066903,1523.879874,21.25148123,13.44300387,266.6216803,22.95808807,16.15517505,399.8772881,22.73643778,17.60368234,675.2775911,23.02032721,16.80125455,441.1454785,22.32919923,15.7694714,186.8346791,21.64715903,11.20184256,76.68460023,15.16240496,22.32378209,341.0735529
2002,3,Dagana,2002,2985,556,90,27,12053.41272,8570.837651,10494.58639,3.474149772,1461.026911,3400999.457,0.256002839,958.5991026,22.60617897,14.71481002,221.7142609,24.13085789,17.17293871,387.3330451,23.89338989,18.62798458,576.7193966,24.20455463,17.91728189,389.4409468,23.50015516,16.88342381,169.2163752,22.69488877,12.34117692,70.58695999,16.27626932,23.50500422,302.5018308
2002,4,Gasa,2002,307,642,90,28,12478.87184,10819.29267,11655.7994,1.839186691,766.5399549,1383244.377,0.253526021,2498.277024,6.287987821,-5.345063722,25.45603306,10.03638459,-0.538560317,36.31853496,10.06558574,1.909975365,107.4917312,10.20144682,1.1003256,100.7053831,8.527004286,-1.163984929,35.11004559,6.911660492,-7.038915197,14.77043032,-1.8460372,8.671678292,53.30869304
2002,5,Haa,2002,101,400,89,27,11118.78691,6494.301648,8580.751074,4.020797242,1841.111658,4052739.057,0.200883434,2650.994918,15.08973166,5.235515586,124.69018,17.22278114,8.850770453,150.4756615,17.06713097,10.6132273,312.7491479,17.20324604,9.556570453,248.5130286,16.07524798,8.094771598,97.55771383,15.04331162,2.591799146,45.17641505,7.490442423,16.2835749,163.1936911
2002,6,Lhuentse,2002,1545,929,91,28,12367.05934,6827.384357,9323.761719,4.583710407,2047.790124,4742840.846,0.288950709,1665.405688,14.38001048,3.439295556,91.4249103,17.4283234,7.408171654,103.3323885,17.39548884,9.358053344,153.1307634,17.57460485,8.688268021,126.6602987,16.4513769,7.100357351,68.56789308,14.76663485,1.749415464,37.38617388,6.290593565,16.33273989,96.75040464
2002,7,Monggar,2002,1552,849,91,27,11878.11493,7174.981191,9445.251435,3.949654218,1847.049192,4036651.269,0.285431717,1734.315881,22.11082829,13.2936776,146.0393446,24.14319042,16.02579242,226.4936165,23.90574668,17.38352116,279.5056348,24.2311149,16.79105701,181.889094,23.49125803,15.77548035,103.6111142,21.91319247,10.95995479,57.16068937,15.03824722,23.2992218,165.7832489
2002,8,Paro,2002,2902,1342,89,27,10281.43065,5782.219524,7863.825059,3.448944673,1846.639538,3946603.798,0.203861862,2450.417838,13.95460502,3.356344154,71.92200553,16.26501667,7.162763173,89.82433604,16.227196,9.165446741,198.9851158,16.2848748,8.091042835,175.2248811,15.07874178,6.48948413,66.88610523,13.71007557,0.488963844,31.08748728,5.792340813,15.25341831,105.6549885
2002,9,Pema Gatshel,2002,78,295,91,27,11713.69313,7291.132945,9442.32899,3.782206964,1757.311062,3808691.321,0.275607378,1318.282979,25.40055661,17.82462379,243.9528534,26.81251572,19.80372585,521.5349356,26.36916283,20.78839503,539.4019728,27.00402648,20.49128341,308.2651483,26.42328697,19.72389368,192.419162,25.09734749,15.65399188,71.08767038,19.04765227,26.18448268,312.7769571
2002,10,Punakha,2002,4262,1165,90,28,11634.23752,6775.17769,9221.390096,3.173367374,2026.089075,4810196.355,0.223996243,1525.926487,18.57096342,8.474520475,83.28062564,20.86688925,11.86637994,105.760509,20.78954808,13.80544802,200.9393226,20.89951533,12.91142314,211.8893928,19.72768238,11.40077847,95.19729907,18.77138945,6.27582603,39.47920656,10.78906268,19.93766465,122.7577259
2002,11,Samdrup Jongkhar,2002,2784,637,92,27,12280.46863,8118.157278,10243.19658,5.894614195,1491.943086,2799711.224,0.184334317,895.3174202,24.21436681,16.14333861,225.1684358,26.01663325,18.62818841,483.5697494,25.70795603,19.73269103,446.6412418,26.10084205,19.13957426,291.3489565,25.57641706,18.40130224,162.9737658,24.02076274,14.18156626,73.097335,17.70444347,25.27282966,280.4665807
2002,12,Samtse,2002,6923,316,89,27,13006.98436,7365.726505,10800.37466,4.845445106,2069.90357,6965537.883,0.121522618,553.7776539,24.01925174,16.88670218,347.7094101,25.52739373,19.2936433,482.8164478,25.08354504,20.5109337,930.8091711,25.4301625,19.70985207,698.5054975,24.57833506,18.66309563,286.8072826,24.46000651,14.95073434,110.0504086,18.33582687,24.84978243,476.1163696
2002,13,Sarpang,2002,4836,687,90,27,13175.57351,9336.690237,11611.97368,7.514593226,1276.27056,2950842.671,0.076765611,408.2415981,25.07982318,17.47503239,260.5202822,26.38914622,19.50753399,522.8017636,25.9869047,20.74433015,699.7658943,26.45735751,20.31323602,449.8782899,25.84813838,19.42454879,221.8317683,24.96808991,15.37804023,77.14479419,18.80712026,25.78824332,371.9904654
2002,14,Thimphu,2002,1866,1162,90,28,10635.28837,7231.963427,8948.929431,2.939537091,1438.807337,2667339.111,0.266589744,2481.677559,11.61418189,0.753132785,55.17813124,14.2167742,4.715760144,74.73682252,14.15243072,6.824168164,173.3983903,14.26498403,5.807969927,155.682865,13.00036193,4.07934101,56.87641242,11.55882355,-1.955583558,24.75457375,3.370798079,13.13459272,90.10453254
2002,15,Trashi Yangtse,2002,1532,1063,90,28,10975.24455,5088.374842,7620.54277,4.24155781,2263.849114,6192065.458,0.272892318,1725.189516,15.89323013,5.156896861,104.5871154,18.97843529,9.102164953,124.8921322,18.85695874,10.87950809,159.0579981,18.96801217,10.14044312,132.2340042,17.99088646,8.71279284,69.40751103,16.31869228,3.544020156,42.32492695,7.92263767,17.83436918,105.4172813
2002,16,Trashigang,2002,2857,1420,92,28,12053.85347,6921.487738,9431.481953,4.13229072,1992.201911,4756348.149,0.270651952,1931.999117,18.66819626,8.877157016,136.0415328,21.08491425,12.17782492,218.3977809,21.01790417,13.85031196,233.4028816,21.19681341,13.0615388,169.4018915,20.46315102,11.91965119,89.6636141,18.65509026,6.891996481,54.81575981,11.12974673,20.18101156,150.2872435
2002,17,Trongsa,2002,1649,818,92,27,12561.78053,7890.733677,10294.82517,5.559420033,1663.48344,3357054.604,0.317338962,1846.334221,17.98067158,8.136805704,121.1880526,20.15439733,11.32209948,170.1107489,20.06470985,13.12580271,262.1763351,20.3023286,12.37591572,206.6760559,19.30559873,10.97959696,106.305689,17.85916409,5.673221716,47.26978485,10.26890705,19.2778117,152.2877777
2002,18,Tsirang,2002,3877,484,90,27,12003.95741,7443.359833,10030.85484,3.228103497,1905.404478,4331284.482,0.290134709,1229.112049,24.04446064,16.37212417,203.3492583,25.50950697,18.61530557,385.9875405,25.08010795,19.8480926,574.656221,25.46226847,19.26282513,389.4562581,24.80159359,18.30157558,176.3352325,23.94371951,14.05264089,73.25560758,17.74209399,24.80694286,300.5066863
2002,19,Wangdue Phodrang,2002,3529,1120,90,27,11544.56672,8221.224596,9944.764681,2.586909268,1416.310639,3151884.34,0.243735354,2114.231635,14.69863854,4.515515239,92.14022453,17.31957729,8.210198257,135.1364906,17.28487128,10.15901358,232.9858773,17.41480142,9.303887029,198.3506952,16.30777037,7.759011951,91.37627199,14.96598876,2.382177127,38.17681242,7.054967197,16.33194128,131.361062
